      Shortage Reports,
      Report ID,DIN,Report Type,Brand Name,Company Name,Common or Proper Name,Ingredient Name,Drug Strength,Packaging Size,Drug Route,Shortage Status,Dosage Form,ATC Code,ATC Description,Anticipated Shortage Start Date,Shortage Start Date,Estimated Shortage End Date,Actual Shortage End Date,Reason,Date Created,
      10415,02364182,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,200MCG,10 Tabs,SUBLINGUAL,resolved,TABLET,N02AB,OPIOIDS,,2015-11-27,,2015-11-27,Disruption of the manufacture of the drug.,2017-05-16,
      10418,02364204,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,400MCG,10 Tabs,SUBLINGUAL,active_confirmed,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,
      10445,02364212,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,600MCG,10 Tabs,SUBLINGUAL,active_confirmed,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,
      10448,02364220,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,800MCG,10 Tabs,SUBLINGUAL,active_confirmed,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,
      29649,02303450,Shortage,ACCEL PIOGLITAZONE,ACCEL PHARMA INC,ACCEL PIOGLITAZONE,PIOGLITAZONE,30MG,100 tablets,ORAL,active_confirmed,TABLET,A10BG03,BLOOD GLUCOSE LOWERING DRUGS EXCL. INSULINS,2017-11-17,2017-11-17,2018-01-10,,Disruption of the manufacture of the drug.,2017-11-17,
      14434,02236606,Shortage,ACCOLATE TAB 20 MG,ASTRAZENECA CANADA INC,zafirlukast tablets,ZAFIRLUKAST,20MG,60,ORAL,avoided_shortage,TABLET,R03DC,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,2017-12-31,,,2017-08-15,Disruption of the manufacture of the drug.,2017-06-30,
      22073,02164418,Shortage,ACEBUTOLOL-200 - TAB 200MG,PRO DOC LIMITEE,ACEBUTOLOL-200,ACEBUTOLOL,200MG,100-500,ORAL,active_confirmed,TABLET,C07AB,BETA BLOCKING AGENTS,,2017-09-13,2018-02-28,,Delay in shipping of the drug.,2017-09-13,
      17195,02362244,Shortage,ACETAMINOPHEN TABLETS USP 500 MG,APOTEX INC,ACETAMINOPHEN,ACETAMINOPHEN,500MG,30 BTL,ORAL,resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2017-08-18,,2017-09-29,2017-10-02,Disruption of the manufacture of the drug.,2017-07-26,
      32028,02028174,Shortage,ACETAMINOPHEN CAFFEINE &amp;amp; CODEINE,PHARMASCIENCE INC,ACET CODEINE,ACETAMINOPHEN CODEINE PHOSPHATE CAFFEINE,300MG 8MG 15MG,200,ORAL,active_confirmed,TABLET,N02AJ06,OPIOIDS,,2017-12-07,,,Disruption of the manufacture of the drug.,2017-12-07,
      4161,02025337,Shortage,ACETAMINOPHEN CAFFEINE &amp;amp; CODEINE,PHARMASCIENCE INC,ANALGESICS C.L.,ACETAMINOPHEN CODEINE PHOSPHATE CAFFEINE,300MG 8MG 15MG,200,ORAL,active_confirmed,TABLET,N02AJ,,,2017-03-23,,,Disruption of the manufacture of the drug.,2017-03-24,
      13688,02025337,Shortage,ACETAMINOPHEN CAFFEINE &amp;amp; CODEINE,PHARMASCIENCE INC,ACETOMINOPHEN,ACETAMINOPHEN CODEINE PHOSPHATE CAFFEINE,300MG 8MG 15MG,100,ORAL,active_confirmed,TABLET,N02AJ,OPIOIDS,2017-08-21,2017-08-21,,,Disruption of the manufacture of the drug.,2017-06-23,
      23251,02017431,Shortage,ACETAMINOPHENE 160MGCO.CROQUABLE POUR ENFANT,LABORATOIRE RIVA INC,Acetaminophene 160mgco. Croquable pour enfant,ACETAMINOPHEN,160MG,20,ORAL,resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2017-09-25,2017-09-25,2017-09-29,2017-10-13,Disruption of the manufacture of the drug.,2017-09-25,
      5652,00386626,Shortage,ACETAMINOPHENE 500TAB,PRO DOC LIMITEE,ACETAMINOPHENE,ACETAMINOPHEN,500MG,1000,ORAL,resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,,2017-04-05,,2017-05-30,Delay in shipping of the drug.,2017-04-05,
      35352,00545015,Shortage,ACETAZOLAMIDE,AA PHARMA INC,Acetazolamide,ACETAZOLAMIDE,250MG,100 BTL,ORAL,active_confirmed,TABLET,S01EC01,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,,2018-01-09,2018-01-19,,Disruption of the manufacture of the drug.,2018-01-09,
      14896,00545015,Shortage,ACETAZOLAMIDE,AA PHARMA INC,ACETAZOLAMIDE,ACETAZOLAMIDE,250MG,100 Bottle,ORAL,resolved,TABLET,S01EC,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,,2017-07-06,2017-07-17,2017-07-12,Disruption of the manufacture of the drug.,2017-07-07,
      2482,02243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,10ML,INHALATIONINTRAVENOUSORAL,resolved,SOLUTION,R05CB,EXPECTORANTSEXCL COMBINATIONS WITH COUGH SUPPR.,2017-03-14,,2017-04-14,2017-04-24,Disruption of the manufacture of the drug.,2017-03-14,
      2486,02243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,30ML,INHALATIONINTRAVENOUSORAL,resolved,SOLUTION,R05CB,EXPECTORANTSEXCL COMBINATIONS WITH COUGH SUPPR.,2017-03-14,,2017-07-28,2017-07-28,Disruption of the manufacture of the drug.,2017-03-14,
      5804,02381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 tabs in blister pack per box  |  28 comprimés en plaquette thermoformée par boîte,ORAL,resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-04-01,2017-04-01,2017-04-01,2017-04-01,Disruption of the manufacture of the drug.,2017-04-06,
      5806,02381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 TABS PER BOX     |     BOÎTE DE 28 COMPRIMÉS,ORAL,resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-04-01,2017-04-01,2017-10-20,2017-09-25,Disruption of the manufacture of the drug.,2017-04-06,
      5817,02381494,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,70MG,4 TABS PER BOX     |     BOÎTE DE 4 COMPRIMÉS,ORAL,resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-03-01,2017-03-01,2017-07-28,2017-07-07,Disruption of the manufacture of the drug.,2017-04-06,
      33986,02381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 tabs (blister) per box  | 28 comprimés en plaquette par boîte,ORAL,active_confirmed,TABLET,M05BA04,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,,2017-12-11,2018-02-28,,Disruption of the manufacture of the drug.,2017-12-20,
      5820,02325985,Shortage,ACH-BICALUTAMIDE,ACCORD HEALTHCARE INC,BICALUTAMIDE,BICALUTAMIDE,50MG,100 TABS PER BOTTLE     |     BOUTEILLE DE 100 COMPRIMÉS,ORAL,resolved,TABLET,L02BB,HORMONE ANTAGONISTS AND RELATED AGENTS,2017-04-01,2017-04-01,2017-07-14,2017-07-05,Disruption of the manufacture of the drug.,2017-04-06,
      16461,02426757,Shortage,ACH-CAPECITABINE,ACCORD HEALTHCARE INC,CAPECITABINE,CAPECITABINE,150MG,60 Tabs Blister Pack/Box     |     60 comprimés en plaquette alvéolées /Boîte,ORAL,resolved,TABLET,L01BC,ANTIMETABOLITES,2017-07-19,2017-07-19,,2017-12-08,Other (Please describe in comments),2017-07-19,
      16466,02426765,Shortage,ACH-CAPECITABINE,ACCORD HEALTHCARE INC,CAPECITABINE,CAPECITABINE,500MG,120 Tabs Blister Pack / Box     |     120 comprimés en plaquettes alvéolées / Boîte,ORAL,resolved,TABLET,L01BC,ANTIMETABOLITES,2017-07-19,2017-07-19,,2017-12-08,Other (Please describe in comments),2017-07-19,
      22174,02426757,Shortage,ACH-CAPECITABINE,ACCORD HEALTHCARE INC,CAPECITABINE,CAPECITABINE,150MG,60 TABLETS PER BOTTLE  |  60 COMPRIMÉS PAR BOUTEILLE,ORAL,resolved,TABLET,L01BC,ANTIMETABOLITES,2017-09-13,2017-09-13,2017-10-20,2017-10-16,Disruption of the manufacture of the drug.,2017-09-15,
      26463,02434652,Shortage,ACH-ESCITALOPRAM,ACCORD HEALTHCARE INC,ESCITALOPRAM,ESCITALOPRAM,10MG,6 BLISTERS PACKS/BOX (60 TABS/BOX)  |  6 PLAQUETTES ALVÉOLÉES/BOÎTE (60 COMPRIMÉS/BOÎTES),ORAL,resolved,TABLET,N06AB10,ANTIDEPRESSANTS,2017-09-25,2017-09-25,2017-12-01,2017-12-15,Disruption of the manufacture of the drug.,2017-10-20,
      26466,02434660,Shortage,ACH-ESCITALOPRAM,ACCORD HEALTHCARE INC,ESCITALOPRAM,ESCITALOPRAM,20MG,3 BLISTER PACKS/BOX (30 TABS/BOX)  | 3 PLAQUETTES ALVÉOLÉES/BOÎTE (30 COMPRIMÉS/BOÎTES),ORAL,resolved,TABLET,N06AB10,ANTIDEPRESSANTS,2017-09-26,2017-09-26,2017-11-17,2017-12-08,Disruption of the manufacture of the drug.,2017-10-20,
      9673,02434652,Shortage,ACH-ESCITALOPRAM,ACCORD HEALTHCARE INC,ESCITALOPRAM,ESCITALOPRAM,10MG,100 TABS PER BOTTLE   |   BOUTEILLE DE 100 COMPRIMÉS,ORAL,resolved,TABLET,N06AB,ANTIDEPRESSANTS,2017-05-09,2017-05-09,2017-11-03,2017-10-16,Disruption of the manufacture of the drug.,2017-05-09,
      34007,02434652,Shortage,ACH-ESCITALOPRAM,ACCORD HEALTHCARE INC,ESCITALOPRAM,ESCITALOPRAM,10MG,10 TABS PER BLISTER PACK 3 BLISTER PACKS PER BOX   | 10 COMPRIMÉS PAR PLAQUETTE 3 PLAQUETTES PAR BOÎTE,ORAL,active_confirmed,TABLET,N06AB10,ANTIDEPRESSANTS,2017-12-15,2017-12-15,2018-02-09,,Disruption of the manufacture of the drug.,2017-12-20,
      9695,02355043,Shortage,ACH-FINASTERIDE,ACCORD HEALTHCARE INC,FINASTERIDE,FINASTERIDE,5MG,100 TABS PER BOTTLE     |     BOUTEILLE DE 100 COMPRIMÉS,ORAL,resolved,TABLET,G04CB,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,2017-05-08,2017-05-08,2017-06-16,2017-07-10,Disruption of the manufacture of the drug.,2017-05-09,
      34002,02339595,Shortage,ACH-PIOGLITAZONE,ACCORD HEALTHCARE INC,PIOGLITAZONE,PIOGLITAZONE,45MG,90 tabs per bottle   |   90 comprimés par bouteille,ORAL,active_confirmed,TABLET,A10BG03,BLOOD GLUCOSE LOWERING DRUGS EXCL. INSULINS,,2017-12-18,2018-03-02,,Disruption of the manufacture of the drug.,2017-12-20,
      18283,02389819,Shortage,ACH-TEMOZOLOMIDE,ACCORD HEALTHCARE INC,TEMOZOLOMIDE,TEMOZOLOMIDE,20MG,5 CAPSULES / BOTTLE     |     5 CAPSULES / BOUTEILLE,ORAL,resolved,CAPSULE,L01AX,ALKYLATINGAGENTS,2017-07-04,2017-07-04,2017-09-22,2017-09-20,Disruption of the manufacture of the drug.,2017-08-04,
      19042,02230507,Shortage,ACID REDUCER,APOTEX INC,RANITIDINE,RANITIDINE,75MG,6/10 BLS,ORAL,active_confirmed,TABLET,A02BA,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),,2017-03-10,,,Disruption of the manufacture of the drug.,2017-08-13,
      3348,02297477,Shortage,ACT AMLODIPINE,ACTAVIS PHARMA COMPANY,AMLODIPINE,AMLODIPINE,2.5MG,100,ORAL,resolved,TABLET,C08CA,SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.,,2017-03-17,2017-07-31,2017-09-01,Disruption of the manufacture of the drug.,2017-03-17,
      8767,02301407,Shortage,ACT CABERGOLINE,ACTAVIS PHARMA COMPANY,CABERGOLINE,CABERGOLINE,0.5MG,8,ORAL,active_confirmed,TABLET,G02CB,OTHER GYNECOLOGICALS,,2015-01-01,,,Requirements related to complying with good manufacturing practices.,2017-05-03,
      3390,02420155,Shortage,ACT CELECOXIB,ACTAVIS PHARMA COMPANY,CELECOXIB,CELECOXIB,100MG,100,ORAL,active_confirmed,CAPSULE,M01AH,ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.NON-STEROIDS,,2017-09-30,2017-11-30,,Disruption of the manufacture of the drug.,2017-03-17,
      9901,02370638,Shortage,ACT DILTIAZEM CD,ACTAVIS PHARMA COMPANY,DILTIAZEM CD,DILTIAZEM HYDROCHLORIDE,180MG,100,ORAL,resolved,CAPSULE (EXTENDED RELEASE),C08DB,SELECTIVE CALC.CHANNEL BLOCK. W/DIRECT CARDIAC EFF,,2017-05-04,2017-05-31,2017-08-30,Demand increase for the drug.,2017-05-10,
      3362,02370522,Shortage,ACT DILTIAZEM T,ACTAVIS PHARMA COMPANY,DILTIAZEM,DILTIAZEM HYDROCHLORIDE,360MG,100,ORAL,active_confirmed,CAPSULE (EXTENDED RELEASE),C08DB,SELECTIVE CALC.CHANNEL BLOCK. W/DIRECT CARDIAC EFF,,2017-06-30,2017-11-10,,Disruption of the manufacture of the drug.,2017-03-17,
      20315,02291886,Shortage,ACT ENALAPRIL,ACTAVIS PHARMA COMPANY,ENALAPRIL,ENALAPRIL SODIUM,4MG,100,ORAL,resolved,TABLET,C09AA,ACE INHIBITORS PLAIN,,2017-08-18,2017-09-15,2017-10-06,Disruption of the manufacture of the drug.,2017-08-24,
      20326,02291908,Shortage,ACT ENALAPRIL,ACTAVIS PHARMA COMPANY,ENALAPRIL,ENALAPRIL SODIUM,16MG,100,ORAL,resolved,TABLET,C09AA,ACE INHIBITORS PLAIN,,2017-08-20,2017-09-15,2017-10-06,Disruption of the manufacture of the drug.,2017-08-24,
      9912,02423863,Shortage,ACT ESOMEPRAZOLE,ACTAVIS PHARMA COMPANY,ESOMEPRAZOLE,ESOMEPRAZOLE,40MG,30,ORAL,active_confirmed,TABLET (DELAYED-RELEASE),A02BC,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),,2017-08-01,2017-12-31,,Disruption of the manufacture of the drug.,2017-05-10,
      9917,02414716,Shortage,ACT EZETIMIBE,ACTAVIS PHARMA COMPANY,EZETIMIBE,EZETIMIBE,10MG,100,ORAL,resolved,TABLET,C10AX,LIPID MODIFYING AGENTS PLAIN,,2017-05-04,2017-05-30,2017-05-17,Disruption of the manufacture of the drug.,2017-05-10,
      20300,02256142,Shortage,ACT GABAPENTIN,ACTAVIS PHARMA COMPANY,GABAPENTIN,GABAPENTIN,100MG,500,ORAL,active_confirmed,CAPSULE,N03AX,ANTIEPILEPTICS,,2017-08-18,2017-10-16,,Disruption of the manufacture of the drug.,2017-08-24,
      9922,02274191,Shortage,ACT LEVETIRACETAM,ACTAVIS PHARMA COMPANY,LEVETIRACETAM,LEVETIRACETAM,500MG,100,ORAL,active_confirmed,TABLET,N03AX,ANTIEPILEPTICS,,2017-05-04,2018-01-31,,Disruption of the manufacture of the drug.,2017-05-10,
      9939,02274205,Shortage,ACT LEVETIRACETAM,ACTAVIS PHARMA COMPANY,LEVETIRACETAM,LEVETIRACETAM,750MG,100,ORAL,active_confirmed,TABLET,N03AX,ANTIEPILEPTICS,,2017-05-04,2018-01-31,,Disruption of the manufacture of the drug.,2017-05-10,
      3357,02327589,Shortage,ACT OLANZAPINE ODT,ACTAVIS PHARMA COMPANY,OLANZAPINE ODT,OLANZAPINE,15MG,30,ORAL,active_confirmed,TABLET (ORALLY DISINTEGRATING),N05AH,ANTIPSYCHOTICS,,2017-03-17,2018-01-31,,Disruption of the manufacture of the drug.,2017-03-17,
      10972,02327570,Shortage,ACT OLANZAPINE ODT,ACTAVIS PHARMA COMPANY,OLANZAPINE,OLANZAPINE,10MG,30,ORAL,active_confirmed,TABLET (ORALLY DISINTEGRATING),N05AH,ANTIPSYCHOTICS,,2017-05-17,2018-01-31,,Disruption of the manufacture of the drug.,2017-05-24,
      10975,02327597,Shortage,ACT OLANZAPINE ODT,ACTAVIS PHARMA COMPANY,OLANZAPINE,OLANZAPINE,20MG,30,ORAL,active_confirmed,TABLET (ORALLY DISINTEGRATING),N05AH,ANTIPSYCHOTICS,,2017-05-17,2018-01-31,,Disruption of the manufacture of the drug.,2017-05-24,
      3366,02394170,Shortage,ACT OXYCODONE CR,ACTAVIS PHARMA COMPANY,OXYCODONE,OXYCODONE HYDROCHLORIDE,5MG,100,ORAL,resolved,TABLET (EXTENDED-RELEASE),N02AA,OPIOIDS,,2017-03-17,2017-06-30,2017-07-30,Requirements related to complying with good manufacturing practices.,2017-03-17,
      3377,02394189,Shortage,ACT OXYCODONE CR,ACTAVIS PHARMA COMPANY,OXYCODONE,OXYCODONE HYDROCHLORIDE,10MG,100,ORAL,resolved,TABLET (EXTENDED-RELEASE),N02AA,OPIOIDS,,2017-03-17,2017-06-30,2017-07-30,Requirements related to complying with good manufacturing practices.,2017-03-17,
      3381,02394197,Shortage,ACT OXYCODONE CR,ACTAVIS PHARMA COMPANY,OXYCODONE,OXYCODONE HYDROCHLORIDE,20MG,100,ORAL,resolved,TABLET (EXTENDED-RELEASE),N02AA,OPIOIDS,,2017-03-17,,2017-06-30,Requirements related to complying with good manufacturing practices.,2017-03-17,
      3384,02394219,Shortage,ACT OXYCODONE CR,ACTAVIS PHARMA COMPANY,OXYCODONE,OXYCODONE HYDROCHLORIDE,80MG,500,ORAL,resolved,TABLET (EXTENDED-RELEASE),N02AA,OPIOIDS,,2017-03-17,2017-06-30,2017-07-30,Requirements related to complying with good manufacturing practices.,2017-03-17,
      10978,02394200,Shortage,ACT OXYCODONE CR,ACTAVIS PHARMA COMPANY,OXYCODONE,OXYCODONE HYDROCHLORIDE,40MG,100,ORAL,resolved,TABLET (EXTENDED-RELEASE),N02AA,OPIOIDS,,2017-05-17,2017-06-30,2017-07-30,Disruption of the manufacture of the drug.,2017-05-24,
      3310,02248182,Shortage,ACT PRAVASTATIN,ACTAVIS PHARMA COMPANY,PRAVASTATIN,PRAVASTATIN SODIUM,10MG,100,ORAL,active_confirmed,TABLET,C10AA,LIPID MODIFYING AGENTS PLAIN,,2017-03-17,2017-04-07,,Disruption of the manufacture of the drug.,2017-03-17,
      3314,02248184,Shortage,ACT PRAVASTATIN,ACTAVIS PHARMA COMPANY,PRAVASTATIN,PRAVASTATIN SODIUM,40MG,100,ORAL,active_confirmed,TABLET,C10AA,LIPID MODIFYING AGENTS PLAIN,,2017-03-17,2017-05-01,,Disruption of the manufacture of the drug.,2017-03-17,
      3394,02402955,Shortage,ACT PREGABALIN,ACTAVIS PHARMA COMPANY,PREGABALIN,PREGABALIN,150MG,500,ORAL,resolved,CAPSULE,N03AX,ANTIEPILEPTICS,,2017-03-17,2017-06-01,2017-08-01,Disruption of the manufacture of the drug.,2017-03-17,
      20303,02402920,Shortage,ACT PREGABALIN,ACTAVIS PHARMA COMPANY,PREGABALIN,PREGABALIN,50MG,500,ORAL,active_confirmed,CAPSULE,N03AX,ANTIEPILEPTICS,,2017-08-20,,,Disruption of the manufacture of the drug.,2017-08-24,
      10981,02402920,Shortage,ACT PREGABALIN,ACTAVIS PHARMA COMPANY,PREGABALIN,PREGABALIN,50MG,100,ORAL,active_confirmed,CAPSULE,N03AX,ANTIEPILEPTICS,,2017-05-17,,,Disruption of the manufacture of the drug.,2017-05-24,
      10991,02295482,Shortage,ACT RAMIPRIL,ACTAVIS PHARMA COMPANY,RAMIPRIL,RAMIPRIL,1.25MG,100,ORAL,resolved,CAPSULE,C09AA,ACE INHIBITORS PLAIN,,2017-05-17,2017-07-31,2017-08-20,Disruption of the manufacture of the drug.,2017-05-24,
      3320,02248571,Shortage,ACT RANITIDINE,ACTAVIS PHARMA COMPANY,RANITIDINE,RANITIDINE,300MG,100,ORAL,resolved,TABLET,A02BA,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),,2017-03-17,2017-06-15,2017-09-01,Disruption of the manufacture of the drug.,2017-03-17,
      3330,02282607,Shortage,ACT RISPERIDONE,ACTAVIS PHARMA COMPANY,ACT  RISPERIDONE,RISPERIDONE,1MG,60,ORAL,resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2017-03-17,2017-06-05,2017-08-01,Disruption of the manufacture of the drug.,2017-03-17,
      3337,02282623,Shortage,ACT RISPERIDONE,ACTAVIS PHARMA COMPANY,RISPERIDONE,RISPERIDONE,3MG,60,ORAL,resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2017-03-17,2017-06-07,2017-08-01,Disruption of the manufacture of the drug.,2017-03-17,
      10984,02282615,Shortage,ACT RISPERIDONE,ACTAVIS PHARMA COMPANY,RISPERIDONE,RISPERIDONE,2MG,60,ORAL,active_confirmed,TABLET,N05AX,ANTIPSYCHOTICS,,2017-05-17,2017-10-16,,Disruption of the manufacture of the drug.,2017-05-24,
      10988,02381702,Shortage,ACT RIZATRIPTAN,ACTAVIS PHARMA COMPANY,RIZATRIPTAN,RIZATRIPTAN,10MG,6,ORAL,resolved,TABLET,N02CC,ANTIMIGRAINE PREPARATIONS,,2017-05-17,2017-07-18,2017-08-15,Disruption of the manufacture of the drug.,2017-05-24,
      3343,02287390,Shortage,ACT SERTRALINE,ACTAVIS PHARMA COMPANY,SERTRALINE,SERTRALINE,25MG,100,ORAL,active_confirmed,CAPSULE,N06AB,ANTIDEPRESSANTS,,2017-03-17,,,Disruption of the manufacture of the drug.,2017-03-17,
      4464,01959034,Shortage,ACT-HIB,SANOFI PASTEUR LIMITED,Haemophilus b Conjugate Vaccine (Tetanus Protein – Conjugate),HAEMOPHILUS INFLUENZAE TYPE B-PRP TETANUS PROTEIN,10 μG 30 μG,5 x 0.5 mL vials / 5 fioles de 05 mL,INTRAMUSCULAR,active_confirmed,Powder For Solution,J07AG,BACTERIAL VACCINES,2017-03-28,2017-03-28,2017-11-15,,Delay in shipping of the drug.,2017-03-28,
      5831,02242518,Shortage,ACTONEL,ALLERGAN PHARMA CO.,ACTONEL 5MG,RISEDRONATE SODIUM,5MG,28 COUNT,ORAL,anticipated_shortage,TABLET,M05BA07,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2018-08-01,,,,Other (Please describe in comments),2017-04-06,
      5854,02239146,Shortage,ACTONEL,ALLERGAN PHARMA CO.,ACTONEL 30mg,RISEDRONATE SODIUM,30MG,30mg tablets,ORAL,resolved,TABLET,M05BA07,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-01-23,2017-01-23,2017-01-23,2017-01-23,Other (Please describe in comments),2017-04-06,
